time,x1,x2,y_1,y_2,y_3,u
3.38,-0.55657986183858,0.556859441684608,-0.55657986183858,0.556859441684608,-0.555544979671365,0.555544979671365
3.39,-0.551050564702977,0.55132133539428,-0.551050564702977,0.55132133539428,-0.550048290169194,0.550048290169194
3.4,-0.545576008820031,0.545838247920273,-0.545576008820031,0.545838247920273,-0.544605314500527,0.544605314500527
3.41,-0.540155658206988,0.540409634534208,-0.540155658206988,0.540409634534208,-0.539215549055097,0.539215549055097
3.42,-0.534788981940033,0.535034955842204,-0.534788981940033,0.535034955842204,-0.533878494261563,0.533878494261563
3.43,-0.529475454112588,0.529713677734495,-0.529475454112588,0.529713677734495,-0.528593654577952,0.528593654577952
3.44,-0.524214553793757,0.524445271335471,-0.524214553793757,0.524445271335471,-0.523360538481225,0.523360538481225
3.45,-0.519005764986922,0.519229212954124,-0.519005764986922,0.519229212954124,-0.518178658456025,0.518178658456025
3.46,-0.513848576588491,0.514064984034911,-0.513848576588491,0.514064984034911,-0.513047530982618,0.513047530982618
3.47,-0.508742482346816,0.508952071109033,-0.508742482346816,0.508952071109033,-0.507966676524084,0.507966676524084
3.48,-0.503686980821271,0.503889965746117,-0.503686980821271,0.503889965746117,-0.502935619512787,0.502935619512787
3.49,-0.498681575341517,0.498878164506313,-0.498681575341517,0.498878164506313,-0.497953888336154,0.497953888336154
3.5,-0.493725773966937,0.493916168892791,-0.493725773966937,0.493916168892791,-0.493021015321803,0.493021015321803
3.51,-0.488819089446266,0.489003485304645,-0.488819089446266,0.489003485304645,-0.488136536722043,0.488136536722043
3.52,-0.483961039177401,0.484139624990205,-0.483961039177401,0.484139624990205,-0.483299992697787,0.483299992697787
3.53,-0.479151145167419,0.479324104000741,-0.479151145167419,0.479324104000741,-0.478510927301893,0.478510927301893
3.54,-0.474388933992785,0.474556443144575,-0.474388933992785,0.474556443144575,-0.473768888461982,0.473768888461982
3.55,-0.469673936759776,0.469836167941579,-0.469673936759776,0.469836167941579,-0.469073427962738,0.469073427962738
3.56,-0.465005689065097,0.46516280857808,-0.465005689065097,0.46516280857808,-0.464424101427729,0.464424101427729
3.57,-0.460383730956727,0.460535899862147,-0.460383730956727,0.460535899862147,-0.459820468300781,0.459820468300781
3.58,-0.455807606894969,0.455954981179276,-0.455807606894969,0.455954981179276,-0.455262091826905,0.455262091826905
3.59,-0.451276865713721,0.45141959644846,-0.451276865713721,0.45141959644846,-0.450748539032832,0.450748539032832
3.6,-0.446791060581975,0.446929294078647,-0.446791060581975,0.446929294078647,-0.446279380707155,0.446279380707155
3.61,-0.442349748965535,0.442483626925576,-0.442349748965535,0.442483626925576,-0.441854191380113,0.441854191380113
3.62,-0.437952492588964,0.438082152249006,-0.437952492588964,0.438082152249006,-0.437472549303025,0.437472549303025
3.63,-0.433598857397764,0.433724431670311,-0.433598857397764,0.433724431670311,-0.43313403642742,0.43313403642742
3.64,-0.429288413520789,0.429410031130464,-0.429288413520789,0.429410031130464,-0.428838238383847,0.428838238383847
3.65,-0.425020735232886,0.425138520848388,-0.425020735232886,0.425138520848388,-0.424584744460417,0.424584744460417
3.66,-0.420795400917786,0.420909475279682,-0.420795400917786,0.420909475279682,-0.420373147581073,0.420373147581073
3.67,-0.416611993031218,0.416722473075719,-0.416611993031218,0.416722473075719,-0.416203044283622,0.416203044283622
3.68,-0.412470098064281,0.412577097043104,-0.412470098064281,0.412577097043104,-0.412074034697529,0.412074034697529
3.69,-0.408369306507041,0.408472934103508,-0.408369306507041,0.408472934103508,-0.407985722521505,0.407985722521505
3.7,-0.404309212812387,0.404409575253857,-0.404309212812387,0.404409575253857,-0.403937715000897,0.403937715000897
3.71,-0.40028941536012,0.400386615526884,-0.40028941536012,0.400386615526884,-0.399929622904894,0.399929622904894
3.72,-0.3963095164213,0.396403653952038,-0.3963095164213,0.396403653952038,-0.395961060503568,0.395961060503568
3.73,-0.392369122122824,0.392460293516748,-0.392369122122824,0.392460293516748,-0.392031645544762,0.392031645544762
3.74,-0.388467842412271,0.388556141128043,-0.388467842412271,0.388556141128043,-0.388140999230839,0.388140999230839
3.75,-0.384605291022982,0.384690807574515,-0.384605291022982,0.384690807574515,-0.384288746195302,0.384288746195302
3.76,-0.380781085439395,0.380863907488644,-0.380781085439395,0.380863907488644,-0.380474514479304,0.380474514479304
3.77,-0.376994846862633,0.377075059309447,-0.376994846862633,0.377075059309447,-0.376697935508054,0.376697935508054
3.78,-0.373246200176333,0.373323885245495,-0.373246200176333,0.373323885245495,-0.372958644067132,0.372958644067132
3.79,-0.369534773912739,0.369610011238247,-0.369534773912739,0.369610011238247,-0.369256278278727,0.369256278278727
3.8,-0.36586020021904,0.365933066925738,-0.36586020021904,0.365933066925738,-0.365590479577808,0.365590479577808
3.81,-0.362222114823954,0.362292685606598,-0.362222114823954,0.362292685606598,-0.361960892688231,0.361960892688231
3.82,-0.358620157004577,0.358688504204397,-0.358620157004577,0.358688504204397,-0.358367165598801,0.358367165598801
3.83,-0.355053969553472,0.355120163232333,-0.355053969553472,0.355120163232333,-0.354808949539301,0.354808949539301
3.84,-0.351523198746015,0.351587306758233,-0.351523198746015,0.351587306758233,-0.351285898956483,0.351285898956483
3.85,-0.348027494307994,0.348089582369894,-0.348027494307994,0.348089582369894,-0.34779767149004,0.34779767149004
3.86,-0.344566509383455,0.344626641140737,-0.344566509383455,0.344626641140737,-0.344343927948568,0.344343927948568
3.87,-0.341139900502805,0.341198137595785,-0.341139900502805,0.341198137595785,-0.340924332285525,0.340924332285525
3.88,-0.337747327551156,0.337803729677954,-0.337747327551156,0.337803729677954,-0.337538551575188,0.337538551575188
3.89,-0.334388453736936,0.334443078714669,-0.334388453736936,0.334443078714669,-0.334186255988625,0.334186255988625
3.9,-0.331062945560731,0.331115849384784,-0.331062945560731,0.331115849384784,-0.33086711876968,0.33086711876968
